sku,itemName,type,origin,initialstock,current Stock,uom,size,remark ,image,Last Update 
U354,KUBOTA 1.7T EXCAVATOR U35-4 SR. 12171,Plant,SYD,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_02_24_Field_27.jpg?alt=media&token=8984aaef-320e-4f32-bbdf-7752e974433f,08/10/2025 09:39:02
U17,KUBOTA 3.5T EXCAVATOR U17 SR. 175K325,Plant,SYD,1,1,PCS,,,Inventory_Images/U17.Image.034213.jpg,08/10/2025 07:42:02
FBC293,KUBOTA AUGER HOLE DIGGER DRILL,Plant ,DXB,1,1,PCS,,,Inventory_Images/FBC293.Image.062728.jpg,02/10/2025 10:34:37
FBC280,KUBOTA DIGGING BUCKET,Plant ,DXB,1,1,PCS,,,Inventory_Images/FBC280.Image.160738.jpg,27/09/2025 20:07:03
FBC71,"KUBOTA EXCAVATOR JACK HAMMER ATTACHMENT, BUCKETS AND A SHAKER BUCKET",Plant ,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-17%2016_09_34_Field_27.jpg?alt=media&token=4b6beba2-6888-4641-9f45-b7455988f4db,27/09/2025 20:04:27
FBC292,KUBOTA GRAB BUCKET,Plant ,DXB,1,1,PCS,,,Inventory_Images/FBC292.Image.062412.jpg,02/10/2025 10:23:47
FBC275,KUBOTA HYDRAULIC JACK HAMMER BREAKER,Plant ,DXB,1,0,PCS,,,Inventory_Images/FBC275.Image.084237.jpg,08/10/2025 09:42:40
FBC274,KUBOTA SHAKER BUCKET,Plant ,DXB,1,1,PCS,,,Inventory_Images/FBC274.Image.083911.jpg,27/09/2025 20:09:44
SVL75,KUBOTA SKID STEER LOADER SVL75 SR. N41096-M,Plant,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_35_42_Field_27.jpg?alt=media&token=11f66e18-ce39-4539-9c6d-96db25380c91,
FBC02,LADDER ALUMINIUM 6FT 5 STEP,Tool,SYD,2,0,PCS,,,Inventory_Images/default.jpg,24/09/2025 09:25:31
FBC222,LADDER DOUBLE-TELESCOPIC PORTABLE ALUMINUM 8 STEPS FOLDING,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC222.Image.083026.jpg,23/09/2025 10:40:07
CBS3DA,LADDER STEP ALUM CITECO 0.9M DBL SIDE 150KG CBS3DA,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2016_06_57_Field_27.jpg?alt=media&token=5c85bed1-72e0-43d0-8465-6231d9b09dfd,
FBC112,LUBRICATING GREASE BOX,Material,DXB,2,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2010_33_50_Field_27.jpg?alt=media&token=a0ea7065-9225-4d51-82bb-010ba5f39c85,02/10/2025 15:26:45
GA9020,MAKITA ANGLE GRINDER 230MM GA9020,Tool,SYD,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-15%2018_59_18_Field_45.jpg?alt=media&token=a329af4e-6b7b-43d2-8215-726b18ee2154,30/09/2025 13:31:30
9924DB,MAKITA BELT SANDERS 76X610MM 9924DB,Tool,SYD,2,2,PCS,,,Inventory_Images/FBC05.Image.201855.jpg,23/09/2025 00:19:58
5606B,MAKITA CIRCULAR SAW 160MM 5606B,Tool,SYD,1,1,PCS,160 mm,,Inventory_Images/FBC77.Image.131356.jpg,23/09/2025 17:13:13
N5900BB,MAKITA CIRCULAR SAW 235MM N5900B,Tool,SYD,1,1,PCS,235 mm,,Inventory_Images/FBC74.Image.131651.jpg,23/09/2025 17:16:24
5007NK,MAKITA CIRCULAR SAW ELECTRIC 185MM 50079,Tool,SYD,2,2,BOX,185 mm,,Inventory_Images/5007NK.Image.120339.jpg,23/09/2025 16:03:38
DLX2176T,"MAKITA DRILL, CHARGER, IMPACT DRIVER(TIGHTER) COMBO KIT",Tool,SYD,1,1,BOX,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-18%2016_37_25_Field_27.jpg?alt=media&token=06acfad0-2770-448a-a98b-cb1fe6d5fc9e,02/10/2025 08:37:56
HG6030,MAKITA HEAT GUN HG6030,Tool,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_34_29_Field_34.jpg?alt=media&token=cb1f6242-a77f-4a0c-a741-8dbb62a1171e,23/09/2025 16:38:56
JV0600K-4350CT,MAKITA JIGSAW ELECTRIC JV0600K/4350CT,Tool,SYD,2,2,PCS,,,Inventory_Images/FBC82.Image.121844.jpg,23/09/2025 16:19:35
3709,MAKITA LAMINATE TRIMMER TRIM ROUTER 3709K,Tool,DXB,1,1,PCS,,,Inventory_Images/3709.Image.124856.jpg,23/09/2025 16:48:55
BO5041,MAKITA ORBITAL SANDER AUDIBLE ELECTRIC BO5041,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC86.Image.122312.jpg,23/09/2025 16:26:17
BO4556,MAKITA PALM SQUARE SANDER ELECTRIC BO4556,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC80.Image.123720.jpg,24/09/2025 18:05:19
KP0800,MAKITA PLANER ELECTRIC KP0800,Tool,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_57_54_Field_27.jpg?alt=media&token=c187bb25-ee80-44ea-9f0f-19de27ae82e0,23/09/2025 16:43:35
JR3070CT,MAKITA RECIPROCATING SAW (JIGSAW) JR3070CT,Tool,SYD,2,2,PCS,,,Inventory_Images/FBC85.Image.121036.jpg,07/10/2025 13:09:31
LS1017L,MAKITA SLIDING COMPOUND MITER SAW DROP SAW 255-260mm LS1017L,Tool,SYD,1,1,PCS,255-260 mm,,Inventory_Images/FBC75.Image.130639.jpg,23/09/2025 22:48:44
LS1019L,MAKITA SLIDING COMPOUND MITER SAW WITH LASER DROP SAW 255-260mm LS1019L,Tool,DXB,1,1,PCS,255-260 mm,,Inventory_Images/LS1019L.Image.130831.jpg,23/09/2025 22:48:18
4101RH,MAKITA TILE SAW WET DIAMOND CUTTER  ELECTRIC 110MM 4101RH,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC87.Image.210432.jpg,23/09/2025 01:11:13
FBC249,MARKER BLACK,Material,DXB,0,0,PCS,,,Inventory_Images/FBC249.Image.053110.jpg,25/09/2025 09:30:32
FBC88,MASKING TAPE,Material,DXB,27,17,ROLL,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_01_27_Field_27.jpg?alt=media&token=0b526f57-2138-41ea-8fe2-0f1a64a931d0,04/10/2025 16:54:48
FBC206,MASON HAND TROWEL,Tool,DXB,2,2,PCS,,,Inventory_Images/FBC206.Image.073355.jpg,
FBC89,MDF BOARD ,Material,DXB,123,73,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-09%2012_47_25_Field_34.jpg?alt=media&token=0e4ebf32-dba0-4bcc-abf9-a705248a6bee,02/10/2025 14:57:42
FBC90,METABO 9 INCH GRINDER,Tool,SYD,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_36_39_Field_27.jpg?alt=media&token=5d84a405-5124-4063-81a1-8c8aaed259b7,26/09/2025 11:38:35
M18FPD3,MILWAUKEE  PERCUSSION DRILL 18V M18FPD3 (TIGHTER),Tool,DXB,1,0,PCS,,,Inventory_Images/M18FPD3.Image.081340.jpg,26/09/2025 09:21:05
FBC93,MILWAUKEE 3Ah BATTERY ,Tool,DXB,2,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_46_04_Field_34.jpg?alt=media&token=dd66e04f-a4cb-42b1-8a8c-e1b6f37ccad5,26/09/2025 12:09:58
FBC94,MILWAUKEE 5Ah BATTERY ,Tool,DXB,5,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_45_23_Field_34.jpg?alt=media&token=d2bd7021-6afb-4bf7-936c-a46d813cdda9,10/10/2025 11:44:24
FBC95,MILWAUKEE 6Ah BATTERY ,Tool,DXB,2,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_44_59_Field_34.jpg?alt=media&token=30b4320c-6d8a-4500-8f9b-db94a8131ee0,26/09/2025 12:12:25
FBC96,MILWAUKEE 6X BATTERY CHARGER ,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_46_52_Field_34.jpg?alt=media&token=329a2791-14c1-4dfc-b405-2c7175f9c727,
M18FBL,MILWAUKEE AIR BLOWER AND FANS M18 FBL,Tool,DXB,1,1,PCS,,,Inventory_Images/M18FBL.Image.075930.jpg,21/09/2025 15:07:58
FAG125XPD,MILWAUKEE ANGLE GRINDER FUEL M18 FAG125XPD 18V 125MM,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_819_Field_34.jpg?alt=media&token=6b220e54-26ba-49f3-bc1a-a2dfd2214a66,
FFN302C,MILWAUKEE BATTERY NAIL GUN M18 FFN-302C,Tool,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-18%2009_56_03_Field_27.jpg?alt=media&token=0c1debc6-866b-4d43-a750-cc73d45a0ecf,
FFN16GA0C,MILWAUKEE BATTERY NAIL GUN M18 FUEL FN16GA-0C,Tool,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-18%2015_50_31_Field_27.jpg?alt=media&token=699c9773-21bc-40d0-9754-267e97198303,
M18BBL,MILWAUKEE BLOWER AND FANS M18 BBL,Tool,DXB,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_817_Field_34.jpg?alt=media&token=3d08c209-629f-49bc-b8cf-92a9e5f3bcad,26/09/2025 09:19:22
M18FCS660,MILWAUKEE CIRCULAR SAW 184MM FCS660,Tool,DXB,1,1,PCS,184 mm,,Inventory_Images/M18FCS660.Image.095247.jpg,24/09/2025 13:51:40
CCS55,MILWAUKEE CIRCULAR SAW M18 CCS55,Tool,DXB,1,0,PCS,,,Inventory_Images/CCS55.Image.132205.jpg,26/09/2025 09:21:09
M18WDV,MILWAUKEE FUEL WET/DRY VACUUM CLEANER M18 WDV,Tool,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2014_48_14_Field_34.jpg?alt=media&token=eeb794ea-f78b-43ef-81dc-a3fb48a822f9,
M18GG,MILWAUKEE GREASE GUN M18GG,Tool,SYD,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_28_43_Field_27.jpg?alt=media&token=8b87ac02-d82d-4c5b-abde-62118244891d,08/10/2025 09:39:07
M18BHG,MILWAUKEE HEAT GUN M18 BHG,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_821_Field_34.jpg?alt=media&token=07388f4b-81a2-425e-835c-14ddf7f4c837,
FIW2F12,MILWAUKEE HIGH TORQUE IMPACT WRENCH M18 FIW2F12 (TIGHTER),Tool,DXB,1,1,PCS,,,Inventory_Images/FW2F12.Image.074326.jpg,07/10/2025 11:44:23
M18FTR0,MILWAUKEE LAMINATE TRIMMER TRIM ROUTER  M18FTR0,Tool,DXB,1,1,PCS,,,Inventory_Images/M18FTR0.Image.082813.jpg,
F18FMT,MILWAUKEE M18 FUEL MULTITOOL BARE UNIT M18 FMT,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_820_Field_34.jpg?alt=media&token=9bac5fd5-3c50-49bf-88b1-e0335a2e77de,
FBC107,MILWAUKEE M18 LED AREA LIGHT PORTABLE LIGHTS ,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_816_Field_34.jpg?alt=media&token=5e51db81-7960-4bcb-8855-948cd3325037,
FBC290,MILWAUKEE MULTI TOOL BLADE,Bit,DXB,1,1,BOX,9 pcs,,Inventory_Images/FBC290.Image.060421.jpg,02/10/2025 10:03:29
M18BP0,MILWAUKEE PLANER M18BP-0,Tool,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_57_02_Field_27.jpg?alt=media&token=25a1ade5-771f-4160-a9b1-bdd709960bd8,25/09/2025 03:36:01
FBC109,MILWAUKEE RAPID BATTERY CHARGER,Tool,DXB,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_47_10_Field_34.jpg?alt=media&token=d1bda085-134f-43ee-a0c0-e3c9c8cff811,24/09/2025 08:32:03
FBC253,MILWAUKEE RECIPROCATING SAW,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC253.Image.082054.png,26/09/2025 12:21:25
M18FPRT0,MILWAUKEE RIVET TOOL,Tool,DXB,1,1,PCS,"1/4""",,Inventory_Images/M18FPRT0.Image.094752.jpg,24/09/2025 13:45:44
FBC110,MILWAUKEE SAWALL 32PCS,Bit,DXB,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_1031_Field_45.jpg?alt=media&token=d45d75e5-9601-44c1-b6ee-5845fa759c26,05/10/2025 11:10:21
FBC291,MILWAUKEE SDS PLUS DRILL BIT SET,Bit,DXB,1,1,BOX,8 pcs,(1) 5mm x 115mm SDS Plus MX4 Drill Bit (1) 5.5mm x 115mm SDS Plus MX4 Drill Bit (1) 6mm x 115mm SDS Plus MX4 Drill Bit (1) 6mm x 165mm SDS Plus MX4 Drill Bit (1) 6.5mm x 165mm SDS Plus MX4 Drill Bit (1) 8mm x 165mm SDS Plus MX4 Drill Bit (1)10mm x 165mm SDS Plus MX4 Drill Bit (1)12mm x 160mm SDS Plus MX4 Drill Bit,Inventory_Images/FBC291.Image.061707.png,02/10/2025 10:17:28
M18FH,MILWAUKEE SDS-PLUS HAMMER 4-MODE 26 MM M18FH,Tool,DXB,1,1,PCS,26 mm,,Inventory_Images/M18FH.Image.080641.jpg,23/09/2025 03:24:34
FBC289,MILWAUKEE SHOCKWAVE IMPACT DUTY,Bit,DXB,1,1,BOX,33 pcs,,Inventory_Images/FBC289.Image.055945.jpg,02/10/2025 10:04:19
M18BMS0,MILWAUKEE SINGLE CUT SHEARS M18BMS0,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC155.Image.094529.jpg,24/09/2025 13:59:10
71013,MOP BUCKET DOUBLE TROLLEY 34 LI,Tool,DXB,2,2,PCS,"34 li, 61.5x42x41 cm",,Inventory_Images/FBC311.Image.123100.jpg,04/10/2025 16:29:54
BT01G,MOP MINI WRINGER TROLLEY 20 LI,Tool,DXB,2,2,PCS,"20 li, 4.6x5x27x29 cm",,Inventory_Images/FBC312.Image.123424.jpg,04/10/2025 16:35:23
FBC113,NYLON CABLE TIE PACKET ,Material,DXB,1,0,PACK,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-18%2014_21_06_Field_27.jpg?alt=media&token=d171757b-8a71-43ad-8d0d-9391fc70f257,26/09/2025 09:15:05
FBC244,OUTDOOR SWITCH SOCKET BOX WATERPROOF PORTABLE,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC244.Image.113044.jpg,23/09/2025 15:31:52
AGG051K,OZITO ANGLE GRINDER AGG-051K 230MM,Tool,SYD,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-15%2018_48_29_Field_45.jpg?alt=media&token=0d12d1fc-0987-4017-885a-c7803889849a,01/10/2025 08:36:18
RHD1550,OZITO ROTARY HAMMER SOS CORDED 1500W 5J 3 MODE KIT RHD-1550,Tool,DXB,2,0,PCS,5J 3 mode,,Inventory_Images/RHD1550.Image.125011.jpg,06/10/2025 16:50:03
PPCUP,PAPER COFFEE CUP,Material,DXB,0,0,PACK,,,Inventory_Images/PPCUP.Image.141423.jpg,24/09/2025 18:13:43
B20548,"PASLODE 1000 FRAMING NAILS, 1 FUEL CELLS 50MM B20548",Material,DXB,1,1,PACK,50mmx2.87 mm,,Inventory_Images/B20548.Image.105100.jpg,27/09/2025 21:42:18
B20547V,"PASLODE 3000 FRAMING NAILS, 3 FUEL CELLS 75MM B20547V",Material,DXB,2,2,PACK,75mmx3.06mm,,Inventory_Images/B20547V.Image.105344.jpg,10/10/2025 14:29:07
FBC117,PASLODE ANGLE GUN WITH CHARGER 3 BATTERY,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC117.Image.124950.jpg,06/10/2025 16:49:40
FBC315,PIPE MARKING TAPE,Material,DXB,3,3,ROLL,,,Inventory_Images/FBC315.Image.125354.jpg,04/10/2025 16:54:19
FBC234,PLASTIC CHAIR,Tool,DXB,4,2,PCS,,,Inventory_Images/FBC234.Image.192849.jpg,26/09/2025 12:15:17
FBC118,PLASTIC DROP CLOTH ,Material,DXB,1,0,PACK,,,Inventory_Images/FBC118.Image.124917.jpg,06/10/2025 16:49:10
FBC119,PLASTIC FOLDING TABLE PORTABLE CENTERFOLD DESK,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC119.Image.124856.jpg,06/10/2025 16:48:50
FBC121,PLYWOOD GREENMAX TECH 4'x8'x18MM,Material,DXB,7,7,PCS,4'x8'x18 mm,,Inventory_Images/FBC121.Image.025501.jpg,29/09/2025 06:53:43
FBC120,POLYTHENE SHEET ROLL 500G PLASTIC,Material,DXB,8,2,ROLL,,,Inventory_Images/FBC120.Image.124835.jpg,06/10/2025 16:48:25
FBC240,POLYTHENE WRAPPING ROLL PLASTIC,Tool,DXB,5,5,ROLL,,,Inventory_Images/FBC240.Image.065306.jpg,23/09/2025 10:55:08
FBC239,PRESSURE TESTING PUMP PRUFPUMP CLARK-RP-50,Tool,DXB,1,1,PCS,,,Inventory_Images/FBC239.Image.065049.jpg,23/09/2025 10:50:47
FBC122,PRO MOBILE TOOL BOX CHEST,Tool,SYD,2,0,PCS,,,Inventory_Images/FBC122.Image.124801.jpg,06/10/2025 16:47:54
FBC123,PVC BUCKET,Tool,DXB,9,7,PCS,,,Inventory_Images/FBC123.Image.124739.jpg,06/10/2025 16:47:32
FBC266,PVC CONDUIT PIPE,Material,DXB,15,15,PCS,,,Inventory_Images/FBC266.Image.065944.jpg,27/09/2025 11:03:22
FBC246,PVC TAPE BLACK,Material,DXB,16,16,ROLL,,,Inventory_Images/FBC246.Image.142157.jpg,04/10/2025 16:54:28
FBC304,RACING GO KART,Tool,DXB,1,1,PCS,,,Inventory_Images/FBC304.Image.083646.jpg,04/10/2025 12:35:46
FBC125,RAMSET FRAMEBOSS AUTOMATIC TOOL WITH MAGZINE AND NAILS,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC125.Image.124716.jpg,06/10/2025 16:47:08
TF1100,RAMSET TRAKFAST FASTENING GUN,Tool,DXB,1,1,PCS,,,Inventory_Images/TF1100.Image.084020.jpg,24/09/2025 13:28:51
RRL100W,RR FLOOD LIGHT 100W,Tool,DXB,2,0,PCS,,,Inventory_Images/RRL100W.Image.103039.jpg,23/09/2025 15:20:57
RRL150W,RR FLOOD LIGHT 150W,Tool,DXB,3,0,PCS,,,Inventory_Images/RRL150W.Image.103117.jpg,24/09/2025 20:49:38
RR3PIN,RR SWITCH PLUG,Material,DXB,8,0,PCS,,,Inventory_Images/RR3PIN.Image.111659.jpg,26/09/2025 13:44:41
FBC128,RR SWITCHES CARNATION WEATHERPROOF ISOLATOR SWITCH,Material,DXB,2,2,PCS,,,Inventory_Images/FBC128.Image.124649.jpg,06/10/2025 16:46:40
RRWC,RR WHITE CABLE WIRE ROLL BUNDLE,Tool,DXB,1,0,PCS,,,Inventory_Images/RRWC.Image.094429.jpg,27/09/2025 01:36:42
FBC235,GARBAGE BAG,Material,DXB,0,0,ROLL,,,Inventory_Images/FBC235.Image.193123.png,05/10/2025 16:12:57
FBC279,RVV FLEXIBLE CABLE 100 YARDS,Material,DXB,1,0,ROLL,,,Inventory_Images/FBC279.Image.132158.jpg,27/09/2025 22:22:41
ECO2437RG,RYOBI DROP SAW 2200W 355MM,Tool,DXB,1,0,PCS,355 mm,,Inventory_Images/ECO2437RG.Image.131108.jpg,05/10/2025 16:11:45
FBC114,SAFETAG SCAFFOLDING TAGS,Material,DXB,15,12,PCS,,12 New 3 Used,Inventory_Images/FBC114.Image.100615.jpg,07/10/2025 11:40:43
FBC129,SAFETY GLASS ,Tool,DXB,11,11,PCS,,,Inventory_Images/FBC129.Image.124616.jpg,06/10/2025 16:46:10
FBC294,SAFETY GLOVES,Material,DXB,3,0,PCS,,,Inventory_Images/FBC294.Image.105908.jpg,02/10/2025 14:59:20
FBC130,SAFETY HELMET ,Tool,DXB,67,57,PCS,,,Inventory_Images/FBC130.Image.124556.jpg,06/10/2025 16:45:50
FBC131,SAFETY JACKET ,Tool,DXB,25,16,PCS,,,Inventory_Images/FBC131.Image.124535.jpg,06/10/2025 16:45:30
FBC295,SAFETY WARNING TAPE,Material,DXB,1,0,ROLL,,,Inventory_Images/FBC295.Image.110017.jpg,04/10/2025 16:54:58
FBC243,SAUSAGE CAULK GUN,Tool,DXB,3,3,PCS,,,Inventory_Images/FBC243.Image.112532.jpg,26/09/2025 09:10:18
CAULK2,SAUSAGE CAULKING GUN,Tool,DXB,2,1,PCS,,,Inventory_Images/CAULK2.Image.051206.jpg,26/09/2025 09:21:23
FBC298,SCAFFOLDING FRAME LARGE,Tool,DXB,2,0,PCS,,,Inventory_Images/FBC298.Image.111104.jpg,02/10/2025 15:26:08
FBC299,SCAFFOLDING FRAME SMALL,Tool,DXB,2,0,PCS,,,Inventory_Images/FBC299.Image.111132.jpg,02/10/2025 15:25:46
FBC228,SCAFFOLDING PIPE LARGE,Tool,DXB,12,4,PCS,,,Inventory_Images/FBC227.Image.095806.jpg,02/10/2025 15:26:25
FBC227,SCAFFOLDING STABILISERS PIPE SMALL,Tool,DXB,5,5,PCS,,,Inventory_Images/FBC227.Image.095806.jpg,
FBC226,SCAFFOLDING WHEEL DIAMETER CASTERS,Tool,DXB,4,0,PCS,,,Inventory_Images/FBC226.Image.100959.jpg,23/09/2025 15:46:12
FBC132,SCOTCH BLUE PAINTER TAPE,Material,DXB,31,28,ROLL,,,Inventory_Images/FBC132.Image.124309.jpg,06/10/2025 16:43:03
FS200,SCRAPER FLOOR MASTERFINISH 200MM FS200,Tool,SYD,4,0,PCS,,,Inventory_Images/FS200.Image.124334.jpg,06/10/2025 16:43:27
FS300,SCRAPER FLOOR MASTERFINISH 300MM FS300,Tool,SYD,2,0,PCS,,,Inventory_Images/FS300.Image.124404.jpg,06/10/2025 16:43:57
FS356T,SCRAPER FLOOR MASTERFINISH 356MM W/HANDLE FS356T,Tool,SYD,2,0,PCS,,,Inventory_Images/FS356T.Image.124423.jpg,06/10/2025 16:44:17
GYP1INCH,SCREW 1 INCH GYPSUM,Material,DXB,1,0,PACK,1 inch,,Inventory_Images/GYP1INCH.Image.050737.jpg,26/09/2025 09:21:29
GYP2INCH,SCREW 2 INCH GYPSUM,Material,DXB,1,0,PACK,2 inch,,Inventory_Images/GYP2INCH.Image.050818.jpg,26/09/2025 09:21:37
SCR1INCH,SCREW 2 INCH SILVER,Material,DXB,1,0,PACK,2 inch,,Inventory_Images/SCR1INCH.Image.050947.jpg,26/09/2025 09:21:51
GYP3INCH,SCREW 3 INCH GYPSUM,Material,DXB,1,0,PACK,3 inch,,Inventory_Images/GYP3INCH.Image.050905.jpg,26/09/2025 09:21:43
EZ100,SEALENT EASYSEAL EZ100,Material,DXB,7,7,PCS,,,Inventory_Images/EZ100.Image.124055.jpg,06/10/2025 16:40:47
FBC137,SEALENT MAPESIL AC - 103 BLANC LUNE MONDWEIB,Material,DXB,1,1,PCS,,,Inventory_Images/FBC137.Image.124455.jpg,06/10/2025 16:44:44
FBC138,SEALENT MAPESIL AC - 111 SILBERGRAU GRIS,Material,DXB,1,1,PCS,,,Inventory_Images/FBC138.Image.124505.jpg,06/10/2025 16:44:54
FBC139,SEALENT MAPESIL AC - 120 NEGRO CZARNY,Material,DXB,1,1,PCS,,,Inventory_Images/FBC139.Image.124205.jpg,06/10/2025 16:41:58
